ProteinsSNPsClinicalCases_id,ClinicalCases_id,SNPsDescription_id,WildTypeProteinDescription_id
PSNPCC413,413,SNPD413,WTPTN413
PSNPCC414,414,SNPD414,WTPTN414
PSNPCC415,415,SNPD415,WTPTN415
PSNPCC416,416,SNPD416,WTPTN416
PSNPCC417,417,SNPD417,WTPTN417
PSNPCC418,418,SNPD418,WTPTN418
PSNPCC419,419,SNPD419,WTPTN419
PSNPCC420,420,SNPD420,WTPTN420
PSNPCC421,421,SNPD421,WTPTN421
PSNPCC422,422,SNPD422,WTPTN422
PSNPCC423,423,SNPD423,WTPTN423
PSNPCC424,424,SNPD424,WTPTN424
PSNPCC425,425,SNPD425,WTPTN425
PSNPCC426,426,SNPD426,WTPTN426
PSNPCC427,427,SNPD427,WTPTN427
PSNPCC428,428,SNPD428,WTPTN428
PSNPCC429,429,SNPD429,WTPTN429
PSNPCC430,430,SNPD430,WTPTN430
PSNPCC431,431,SNPD431,WTPTN431
PSNPCC432,432,SNPD432,WTPTN432
PSNPCC433,433,SNPD433,WTPTN433
PSNPCC434,434,SNPD434,WTPTN434
PSNPCC435,435,SNPD435,WTPTN435
PSNPCC436,436,SNPD436,WTPTN436
PSNPCC437,437,SNPD437,WTPTN437
PSNPCC438,438,SNPD438,WTPTN438
PSNPCC439,439,SNPD439,WTPTN439
PSNPCC440,440,SNPD440,WTPTN440
PSNPCC441,441,SNPD441,WTPTN441
PSNPCC442,442,SNPD442,WTPTN442
PSNPCC443,443,SNPD443,WTPTN443
PSNPCC444,444,SNPD444,WTPTN444
PSNPCC445,445,SNPD445,WTPTN445
PSNPCC446,446,SNPD446,WTPTN446
PSNPCC447,447,SNPD447,WTPTN447
PSNPCC448,448,SNPD448,WTPTN448
PSNPCC449,449,SNPD449,WTPTN449
PSNPCC450,450,SNPD450,WTPTN450
PSNPCC451,451,SNPD451,WTPTN451
PSNPCC452,452,SNPD452,WTPTN452
PSNPCC453,453,SNPD453,WTPTN453
PSNPCC454,454,SNPD454,WTPTN454
PSNPCC455,455,SNPD455,WTPTN455
PSNPCC456,456,SNPD456,WTPTN456
